School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
NYC DOE,Q499,Queens,Public School,128,No,0,0,0,128,Yes,01/31/2017,128,0,No,Yes,06/12/2018,http://schools.nyc.gov/schools/Q499,"Q499,Q993",148-20 REEVES AVENUE,Queens,NY,11367,04/03/2019,04/03/2019,"(40.738599, -73.820821)","148-20 REEVES AVENUE
Queens, NY 11367
(40.73917224600007, -73.82203831199996)"
NYC DOE,Q037,Queens,Public School,116,No,0,0,0,116,Yes,01/24/2017,116,0,No,Yes,09/25/2018,http://schools.nyc.gov/schools/Q037,"Q037,Q811",179-37 137 AVENUE,Queens,NY,11434,04/03/2019,04/03/2019,"(40.676201, -73.758778)","179-37 137 AVENUE
Queens, NY 11434
(40.67587221400004, -73.75856000599998)"
NYC DOE,M343,New York,Public School,187,No,0,0,0,187,Yes,01/10/2017,187,0,No,Yes,02/27/2018,http://schools.nyc.gov/schools/M343,"M343,M391",1 PECK SLIP,Manhattan,NY,10038,04/03/2019,04/03/2019,"(40.708774, -74.002407)","1 PECK SLIP
Manhattan, NY 10038
(40.70876177900004, -74.00237731699997)"
SACHEM CENT SCH AT HOLBROOK,WENONAH SCHOOL,Suffolk,Public School,44,No,31,0,0,13,Yes,01/26/2017,44,0,Yes,Yes,06/01/2017,www.sachem.edu,580205060012,251 HUDSON AVE,LAKE GROVE,NY,11755,10/11/2018,10/11/2018,"(40.820237, -73.119032)","251 HUDSON AVE
LAKE GROVE, NY 11755
(40.849840716000074, -73.12415872099996)"
NYC DOE,Q197,Queens,Public School,137,No,0,0,0,137,Yes,01/25/2017,137,0,No,Yes,05/04/2018,http://schools.nyc.gov/schools/Q197,Q197,825 HICKSVILLE ROAD,Queens,NY,11691,04/03/2019,04/03/2019,"(40.599664, -73.744128)","825 HICKSVILLE ROAD
Queens, NY 11691
(40.60017247400003, -73.74399219299994)"
NYC DOE,Q051,Queens,Public School,58,No,0,0,0,58,Yes,01/24/2017,58,0,No,Yes,04/24/2018,http://schools.nyc.gov/schools/Q051,Q051,87-45 117 STREET,Queens,NY,11418,04/03/2019,04/03/2019,"(40.698286, -73.831532)","87-45 117 STREET
Queens, NY 11418
(40.698311861000036, -73.83194979199999)"
NYC DOE,Q045,Queens,Public School,52,No,0,0,0,52,Yes,01/24/2017,52,0,No,Yes,05/31/2018,http://schools.nyc.gov/schools/Q045,Q045,126-28 150 STREET,Queens,NY,11436,04/03/2019,04/03/2019,"(40.671871, -73.788866)","126-28 150 STREET
Queens, NY 11436
(40.672396279000054, -73.78828766999999)"
ROCHESTER CITY SCHOOLS,SCHOOL 54 FLOWER CITY SCHOOL (THE),Monroe,Public School,65,No,47,0,0,40,Yes,11/21/2016,59,6,Yes,Yes,12/01/2016,rcsdk12.org,261600010054,36 OTIS ST.,ROCHESTER,NY,14606,01/03/2017,01/03/2017,"(43.161748, -77.620143)","36 OTIS ST.
ROCHESTER, NY 14606
(43.16902344300007, -77.63961233799995)"
PLATTSBURGH CITY SCHOOL DISTRICT,PLATTSBURGH SHS,Clinton,Public School,58,No,0,0,0,58,Yes,12/29/2016,58,0,Yes,Yes,02/03/2017,www.plattscsd.org,091200010006,RUGAR ST,PLATTSBURGH,NY,12901,12/30/2016,02/13/2017,"(44.731944, -73.548883)","RUGAR ST
PLATTSBURGH, NY 12901
(44.68731116400005, -73.48426588999996)"
OLEAN CITY SCHOOLS,EAST VIEW ES,Cattaraugus,Public School,70,No,0,0,0,70,Yes,09/24/2016,70,7,Yes,Yes,12/15/2016,oleanschools.org,042400010004,SPRING AND ALDER ST,OLEAN,NY,14760,10/30/2018,12/15/2016,"(42.224267, -78.606673)","SPRING AND ALDER ST
OLEAN, NY 14760
(42.08244300000007, -78.41366099999993)"
ROTTERDAM-MOHONASEN,DRAPER MIDDLE SCHOOL,Schenectady,Public School,126,No,0,0,0,126,Yes,10/30/2016,103,23,Yes,Yes,12/07/2016,www.mohonasen.org,530515060003,2070 CURRY RD,SCHENECTADY,NY,12303,12/15/2016,12/15/2016,"(42.809233, -73.946838)","2070 CURRY RD
SCHENECTADY, NY 12303
(42.77491562700004, -73.95247586399995)"
NYC DOE,Q391,Queens,Public School,54,No,0,0,0,54,Yes,01/26/2017,54,0,No,Yes,07/20/2017,http://schools.nyc.gov/schools/Z022,Q331,4415 JUDGE STREET,Queens,NY,11373,04/03/2019,04/03/2019,"(40.742972, -73.877451)","4415 JUDGE STREET
Queens, NY 11373
(40.74304790700006, -73.87746313499997)"
NYC DOE,Q008,Queens,Public School,107,No,0,0,0,107,Yes,02/01/2017,107,0,No,Yes,06/12/2018,http://schools.nyc.gov/schools/Q008,"Q008,Q284,Q287",108-35 167 STREET,Queens,NY,11433,04/03/2019,04/03/2019,"(40.69691, -73.786403)","108-35 167 STREET
Queens, NY 11433
(40.696936261000076, -73.78698080799995)"
NYC DOE,Q234,Queens,Public School,172,No,0,0,0,172,Yes,01/27/2017,172,0,No,Yes,12/18/2018,http://schools.nyc.gov/schools/Q234,"Q234,Q235",30-15 29 STREET,Queens,NY,11102,04/03/2019,04/03/2019,"(40.766898, -73.923044)","30-15 29 STREET
Queens, NY 11102
(40.76726707200004, -73.92321138699998)"
NYC DOE,Q200,Queens,Public School,121,No,0,0,0,121,Yes,01/31/2017,121,0,No,Yes,07/31/2018,http://schools.nyc.gov/schools/Q200,Q200,70-10 164 STREET,Queens,NY,11365,04/03/2019,04/03/2019,"(40.73107, -73.805759)","70-10 164 STREET
Queens, NY 11365
(40.73102942400004, -73.80521609799996)"
ROCHESTER CITY SCHOOLS,SCHOOL 29 ADLAI E STEVENSON,Monroe,Public School,97,No,36,0,0,66,Yes,11/21/2016,89,8,Yes,Yes,12/01/2016,rcsdk12.org,261600010029,88 KIRKLAND RD,ROCHESTER,NY,14611,01/03/2017,01/03/2017,"(43.161748, -77.620143)","88 KIRKLAND RD
ROCHESTER, NY 14611
(43.14652452000007, -77.63880769699995)"
NYC DOE,Q080,Queens,Public School,128,No,0,0,0,128,Yes,01/24/2017,128,0,No,Yes,05/16/2018,http://schools.nyc.gov/schools/Q080,Q080,171-05 137TH AVENUE,Queens,NY,11434,04/03/2019,04/03/2019,"(40.673483, -73.769119)","171-05 137TH AVENUE
Queens, NY 11434
(40.67286835900006, -73.76900415599994)"
RONDOUT VALLEY CENTRAL SCHOOL,KERHONKSON ELEM SCHOOL,Ulster,Public School,94,No,0,0,0,94,Yes,09/14/2016,80,14,Yes,Yes,10/04/2016,www.rondout.k12.ny.us,620901060003,KERHONKSON ELEM SCHOOL,ACCORD,NY,12404,12/07/2016,12/07/2016,"(41.848374, -74.099412)","KERHONKSON ELEM SCHOOL
ACCORD, NY 12404
(41.81654000000003, -74.22976999999997)"
NYC DOE,M112,New York,Public School,200,No,0,0,0,200,Yes,01/28/2017,200,0,No,Yes,07/10/2018,http://schools.nyc.gov/schools/M112,M112,535 EAST 119 STREET,Manhattan,NY,10035,04/03/2019,04/03/2019,"(40.796889, -73.930528)","535 EAST 119 STREET
Manhattan, NY 10035
(40.79649513000004, -73.93050934099995)"
OGDENSBURG CITY SCHOOLS,J F KENNEDY SCHOOL,Saint Lawrence,Public School,165,No,68,0,0,97,Yes,10/13/2016,164,1,Yes,Yes,07/21/2017,http://www.ogdensburgk12.org/,512300010002,801-809 PARK ST,OGDENSBURG,NY,13669,12/29/2016,09/25/2018,"(44.689468, -75.242045)","801-809 PARK ST
OGDENSBURG, NY 13669
(44.69606022200003, -75.47509335499996)"
NYC DOE,Q995,Queens,Public School,2,No,0,0,0,2,Yes,01/24/2017,2,0,No,Yes,01/30/2017,http://schools.nyc.gov/schools/Q056,Q056,86-10 114 STREET,Queens,NY,11418,04/03/2019,04/03/2019,"(40.698989, -73.835735)","86-10 114 STREET
Queens, NY 11418
(40.699265644000036, -73.83539087299994)"
SACHEM CENT SCH AT HOLBROOK,SACHEM H S,Suffolk,Public School,67,No,66,0,0,1,Yes,03/23/2017,67,0,Yes,Yes,06/01/2017,www.sachem.edu,580205060019,212 SMITH RD,LAKE RONKONKOMA,NY,11779,10/11/2018,10/11/2018,"(40.820237, -73.119032)","212 SMITH RD
LAKE RONKONKOMA, NY 11779
(40.839548266000065, -73.10086424999997)"
OSSINING UNION FREE SCHOOL,ANNE M DORNER MIDDLE SCHOOL,Westchester,Public School,117,No,32,0,0,85,Yes,10/25/2016,113,4,Yes,Yes,10/25/2016,www.ossiningufsd.org,661401030006,100 VAN CORTLANDT AVE,OSSINING,NY,10562,12/13/2016,11/08/2016,"(41.039278, -73.805386)","100 VAN CORTLANDT AVE
OSSINING, NY 10562
(41.175948178000056, -73.86050144499995)"
NYC DOE,Q056,Queens,Public School,89,No,0,0,0,89,Yes,01/24/2017,89,0,No,Yes,07/25/2017,http://schools.nyc.gov/schools/Q056,Q056,86-10 114 STREET,Queens,NY,11418,04/03/2019,04/03/2019,"(40.698989, -73.835735)","86-10 114 STREET
Queens, NY 11418
(40.699265644000036, -73.83539087299994)"
NYC DOE,M501,New York,Public School,101,No,0,0,0,101,Yes,01/11/2017,101,0,No,Yes,06/04/2018,http://schools.nyc.gov/schools/M157,"M157,M341,M481",2005 MADISON AVENUE,Manhattan,NY,10035,04/03/2019,04/03/2019,"(40.807019, -73.938714)","2005 MADISON AVENUE
Manhattan, NY 10035
(40.807355261000055, -73.93943398999994)"
RED HOOK CENTRAL SCHOOL,MILL ROAD - PRIMARY GRADES,Dutchess,Public School,155,No,0,0,0,0,Yes,09/24/2016,137,8,Yes,Yes,11/26/2016,www.redhookcentralschools.org,131701060008,9 MILL ROAD,RED HOOK,NY,12571,11/30/2016,12/14/2016,"(41.686216, -73.840468)","9 MILL ROAD
RED HOOK, NY 12571
(42.01817842100007, -73.87136193699996)"
PEMBROKE CENTRAL SCHOOL,PEMBROKE PRIMARY SCHOOL,Genesee,Public School,43,No,0,0,0,43,Yes,09/14/2016,39,4,Yes,Yes,09/29/2016,www.pembrokecsd.org,181302040003,RT 5 & WEST AVE,E PEMBROKE,NY,14056,10/30/2018,10/14/2016,"(43.000121, -78.172679)","RT 5 &amp; WEST AVE
E PEMBROKE, NY 14056
(42.995169359000045, -78.31471949999997)"
NYC DOE,M176,New York,Public School,132,No,0,0,0,132,Yes,01/11/2017,132,0,No,Yes,05/24/2018,http://schools.nyc.gov/schools/M311,"M311,M314",4862 BROADWAY,Manhattan,NY,10034,04/03/2019,04/03/2019,"(40.866381, -73.923818)","4862 BROADWAY
Manhattan, NY 10034
(40.86671146500004, -73.92386179899995)"
NYC DOE,M486,New York,Public School,58,No,0,0,0,58,Yes,01/14/2017,58,0,No,Yes,02/09/2017,http://schools.nyc.gov/schools/M529,M529,120 WEST 46 STREET,Manhattan,NY,10036,04/03/2019,04/03/2019,"(40.757626, -73.98346)","120 WEST 46 STREET
Manhattan, NY 10036
(40.75783481900004, -73.98336999099996)"
NYC DOE,R075,Richmond,Public School,190,No,0,0,0,190,Yes,01/19/2017,190,0,No,Yes,01/30/2017,http://schools.nyc.gov/schools/R075,"R075,R025",455 HUGUENOT AVENUE,Staten Island,NY,10312,04/03/2019,04/03/2019,"(40.544535, -74.197033)","455 HUGUENOT AVENUE
Staten Island, NY 10312
(40.54429487700003, -74.19777996399995)"
NYC DOE,Q750,Queens,Public School,4,No,0,0,0,4,Yes,01/25/2017,4,0,No,Yes,01/30/2017,http://schools.nyc.gov/schools/Q610,Q610,JFK AIRPORT-BLDG #141,Queens,NY,11434,04/03/2019,04/03/2019,"(40.648252, -73.788243)","JFK AIRPORT-BLDG #141
Queens, NY 11434
(40.676300000000026, -73.77547999999996)"
NYC DOE,Q087,Queens,Public School,85,No,0,0,0,85,Yes,01/31/2017,85,0,No,Yes,12/18/2018,http://schools.nyc.gov/schools/Q087,Q087,67-54 80 STREET,Queens,NY,11379,04/03/2019,04/03/2019,"(40.711559, -73.871674)","67-54 80 STREET
Queens, NY 11379
(40.71183386200005, -73.87129369599995)"
PINE PLAINS CENTRAL SCHOOL DISTRICT,STISSING MOUNTAIN MIDDLE SCHOOL,Dutchess,Public School,38,No,0,0,0,38,Yes,10/15/2016,27,11,Yes,Yes,11/30/2016,http://www.ppcsd.org,131301040004,2829 CHURCH ST,PINE PLAINS,NY,12567,12/21/2016,12/21/2016,"(41.686216, -73.840468)","2829 CHURCH ST
PINE PLAINS, NY 12567
(41.98131315200004, -73.66339997599994)"
ROCHESTER CITY SCHOOLS,SCHOOL 34 DR LOUIS A CERULLI,Monroe,Public School,27,No,24,0,0,7,Yes,10/17/2016,24,3,Yes,Yes,10/18/2016,rcsdk12.org,261600010034,530 LEXINGTON AVE,ROCHESTER,NY,14613,01/03/2017,01/03/2017,"(43.161748, -77.620143)","530 LEXINGTON AVE
ROCHESTER, NY 14613
(43.17932952000007, -77.64384146299994)"
NYC DOE,Q924,Queens,Public School,4,No,0,0,0,4,Yes,01/31/2017,4,0,No,Yes,03/09/2017,http://schools.nyc.gov/schools/Q129,Q129,128-02 7 AVENUE,Queens,NY,11356,04/03/2019,04/03/2019,"(40.789926, -73.839505)","128-02 7 AVENUE
Queens, NY 11356
(40.79059953800004, -73.83946193999998)"
NYC DOE,Q452,Queens,Public School,221,No,0,0,0,221,Yes,02/04/2017,221,0,No,Yes,12/18/2018,http://schools.nyc.gov/schools/Q450,"Q450,Q993",14-30 BROADWAY,Queens,NY,11106,04/03/2019,04/03/2019,"(40.765881, -73.933907)","14-30 BROADWAY
Queens, NY 11106
(40.76571474100007, -73.93272440399994)"
NYC DOE,R815,Richmond,Public School,7,No,0,0,0,7,Yes,01/24/2017,7,0,No,Yes,02/03/2017,http://schools.nyc.gov/schools/R445,R445,85 ST. JOSEPHS AVENUE,Staten Island,NY,10302,04/03/2019,04/03/2019,"(40.635562, -74.141924)","85 ST. JOSEPHS AVENUE
Staten Island, NY 10302
(40.63442258500004, -74.14190388999998)"
PORTVILLE CENTRAL SCHOOL DISTRICT,PORTVILLE ES,Cattaraugus,Public School,96,No,0,0,0,96,Yes,09/15/2016,87,9,Yes,Yes,09/27/2016,www.portvillecsd.org,042901040001,ELM ST,PORTVILLE,NY,14770,10/05/2018,10/26/2016,"(42.224267, -78.606673)","ELM ST
PORTVILLE, NY 14770
(42.03384657400005, -78.33452291499998)"
ROCHESTER CITY SCHOOLS,SCHOOL 95 EDISON CAREER & TECHNOLOGY HIGH SCHOOL,Monroe,Public School,34,No,9,0,0,20,Yes,12/19/2016,34,0,Yes,Yes,12/22/2016,rcsdk12.org,261600010095,655 COLFAX STREET,ROCHESTER,NY,14606,01/03/2017,01/03/2017,"(43.161748, -77.620143)","655 COLFAX STREET
ROCHESTER, NY 14606
(43.17778630300006, -77.66972767399994)"
NYC DOE,Q015,Queens,Public School,69,No,0,0,0,69,Yes,01/24/2017,69,0,No,Yes,02/28/2017,http://schools.nyc.gov/schools/Q015,Q015,121-15 LUCAS STREET,Queens,NY,11413,04/03/2019,04/03/2019,"(40.68605, -73.756546)","121-15 LUCAS STREET
Queens, NY 11413
(40.685786621000034, -73.75723117799998)"
NYC DOE,R883,Richmond,Public School,24,No,0,0,0,24,Yes,12/21/2016,24,0,No,Yes,11/05/2018,http://schools.nyc.gov/schools/R080,R080,715 OCEAN TERRACE,Staten Island,NY,10301,04/03/2019,04/03/2019,"(40.607637, -74.105883)","715 OCEAN TERRACE
Staten Island, NY 10301
(40.60860021500008, -74.10220073399995)"
OSWEGO CITY SCHOOLS,KINGSFORD PARK ELEM SCHOOL,Oswego,Public School,59,No,16,0,0,43,Yes,09/30/2016,50,9,Yes,Yes,10/20/2016,ww.oswego.org,461300010005,W FIFTH & NIAGARA ST,OSWEGO,NY,13126,11/11/2016,11/11/2016,"(43.39123, -76.31133)","W FIFTH &amp; NIAGARA ST
OSWEGO, NY 13126
(43.44775200000004, -76.51119149999994)"
ROCHESTER CITY SCHOOLS,SCHOOL 33 AUDUBON,Monroe,Public School,124,No,82,0,0,41,Yes,10/31/2016,123,1,Yes,Yes,11/08/2016,rcsdk12.org,261600010033,500 WEBSTER AVE,ROCHESTER,NY,14609,01/03/2017,01/03/2017,"(43.161748, -77.620143)","500 WEBSTER AVE
ROCHESTER, NY 14609
(43.17006758400004, -77.57136462299997)"
NYC DOE,Q967,Queens,Public School,2,No,0,0,0,2,Yes,01/27/2017,0,2,Yes,Yes,02/27/2017,http://schools.nyc.gov/schools/Q193,Q193,152-20 11THAVE,Queens,NY,11357,04/03/2019,04/03/2019,"(40.749338, -73.789673)","152-20 11THAVE
Queens, NY 11357
(40.79241035600006, -73.80946517599995)"
ROCHESTER CITY SCHOOLS,SCHOOL 45 MARY MCLEOD BETHUNE,Monroe,Public School,98,No,92,0,0,7,Yes,11/14/2016,98,0,Yes,Yes,11/16/2016,rcsdk12.org,261600010045,1445 CLIFFORD AVE,ROCHESTER,NY,14621,01/03/2017,02/02/2017,"(43.161748, -77.620143)","1445 CLIFFORD AVE
ROCHESTER, NY 14621
(43.17561154800006, -77.58319036899996)"
NYC DOE,Q877,Queens,Public School,21,No,0,0,0,21,Yes,01/26/2017,21,0,No,Yes,10/12/2017,http://schools.nyc.gov/schools/Q877,Q007,76-05 51 AVENUE,Queens,NY,11373,04/03/2019,04/03/2019,"(40.737222, -73.887011)","76-05 51 AVENUE
Queens, NY 11373
(40.736911220000025, -73.88689364199996)"
ROCHESTER CITY SCHOOLS,SCHOOL 10 DR WALTER COOPER ACADEMY,Monroe,Public School,18,No,17,0,0,3,Yes,10/10/2016,18,0,Yes,Yes,10/13/2016,rcsdk12.org,261600010010,353 Congress Avenue,ROCHESTER,NY,14619,01/03/2017,02/02/2017,"(43.161748, -77.620143)","353 Congress Avenue
ROCHESTER, NY 14619
(43.12908453400007, -77.64696144599998)"
NYC DOE,Q036,Queens,Public School,44,No,0,0,0,44,Yes,01/24/2017,44,0,No,Yes,03/08/2018,http://schools.nyc.gov/schools/Q036,Q036,187-01 FOCH BOULEVARD,Queens,NY,11412,04/03/2019,04/03/2019,"(40.691306, -73.764081)","187-01 FOCH BOULEVARD
Queens, NY 11412
(40.690818351000075, -73.76401234599996)"
NYC DOE,R011,Richmond,Public School,53,No,0,0,0,53,Yes,12/21/2016,53,0,No,Yes,02/13/2018,http://schools.nyc.gov/schools/R011,R011,50 JEFFERSON STREET,Staten Island,NY,10304,04/03/2019,04/03/2019,"(40.590887, -74.098252)","50 JEFFERSON STREET
Staten Island, NY 10304
(40.590621773000066, -74.09770466799995)"
NYC DOE,Q060,Queens,Public School,107,No,0,0,0,107,Yes,01/26/2017,107,0,No,Yes,10/15/2018,http://schools.nyc.gov/schools/Q060,Q060,91-02 88 AVENUE,Queens,NY,11421,04/03/2019,04/03/2019,"(40.691467, -73.852792)","91-02 88 AVENUE
Queens, NY 11421
(40.69196756200006, -73.85323193099998)"
ONTEORA CENTRAL SCHOOL,WOODSTOCK ELEM SCHOOL,Ulster,Public School,79,No,0,0,0,79,Yes,09/17/2016,70,9,Yes,Yes,10/07/2016,www.onteora.k12.ny.us,621201060004,8 WEST HURLEY RD,WOODSTOCK,NY,12498,11/10/2016,11/11/2016,"(41.848374, -74.099412)","8 WEST HURLEY RD
WOODSTOCK, NY 12498
(42.03542188000006, -74.11061736399995)"
PARISHVL HOPKINTON CENT SCH,PARISHVILLE-HOPKINGTON ELEMENTARY,Saint Lawrence,Public School,32,No,0,0,0,32,Yes,09/22/2016,32,0,Yes,Yes,07/20/2017,http://phcs.neric.org/,512501040002,12 COUNTY RT 47,PARISHVILLE,NY,13672,10/17/2016,09/27/2018,"(44.689468, -75.242045)","12 COUNTY RT 47
PARISHVILLE, NY 13672
(44.63040426500004, -74.81221112899993)"
NYC DOE,Q041,Queens,Public School,71,No,0,0,0,71,Yes,01/31/2017,71,0,No,Yes,02/17/2017,http://schools.nyc.gov/schools/Q041,"Q041,Q993",214-43 35 AVENUE,Queens,NY,11361,04/03/2019,04/03/2019,"(40.770155, -73.771225)","214-43 35 AVENUE
Queens, NY 11361
(40.76965486000006, -73.77092513399998)"
NYC DOE,Q410,Queens,Public School,230,No,0,0,0,230,Yes,02/04/2017,230,0,No,Yes,08/21/2018,http://schools.nyc.gov/schools/Q262,"Q262,Q324,Q351,Q256,Q373",100-00 BEACH CHANNEL DRIVE,Queens,NY,11694,04/03/2019,04/03/2019,"(40.586012, -73.825317)","100-00 BEACH CHANNEL DRIVE
Queens, NY 11694
(40.585544922000054, -73.82467717999998)"
ONEIDA CITY SCHOOLS,ONEIDA SHS,Madison,Public School,177,No,26,0,0,151,Yes,12/10/2016,143,34,Yes,Yes,01/19/2017,www.oneidacsd.org,251400010009,560 SENECA STREET,ONEIDA,NY,13421,01/20/2017,01/20/2017,"(42.986917, -75.720031)","560 SENECA STREET
ONEIDA, NY 13421
(43.08115403000005, -75.65245653599999)"
ROCHESTER CITY SCHOOLS,SCHOOL 73 NORTHEAST COLLEGE PREPORATORY HIGH SCHOOL AT DOUGLASS,Monroe,Public School,100,No,72,0,0,80,Yes,01/15/2017,92,8,Yes,Yes,01/15/2017,rcsdk12.org,261600010073,940 FERNWOOD PARK,ROCHESTER,NY,14609,02/02/2017,02/02/2017,"(43.161748, -77.620143)","940 FERNWOOD PARK
ROCHESTER, NY 14609
(43.179109511000036, -77.56494979399997)"
SACHEM CENT SCH AT HOLBROOK,SACHEM HIGH SCHOOL EAST,Suffolk,Public School,53,No,53,0,0,0,Yes,06/18/2016,53,0,Yes,Yes,09/29/2016,www.sachem.edu,580205060020,177 GRANNY RD,FARMINGVILLE,NY,11738,10/11/2018,10/11/2018,"(40.820237, -73.119032)","177 GRANNY RD
FARMINGVILLE, NY 11738
(40.839208943000074, -73.01139848099996)"
PITTSFORD CENTRAL SCHOOL,ALLEN CREEK SCHOOL,Monroe,Public School,51,No,16,0,0,30,Yes,10/12/2016,42,9,Yes,Yes,11/11/2016,www.pittsfordschools.org,261401060001,3188 EAST AVE,ROCHESTER,NY,14618,11/17/2016,11/17/2016,"(43.161748, -77.620143)","3188 EAST AVE
ROCHESTER, NY 14618
(43.12568923900005, -77.52671778599995)"
NYC DOE,Q030,Queens,Public School,122,No,0,0,0,122,Yes,01/24/2017,122,0,No,Yes,07/25/2018,http://schools.nyc.gov/schools/Q354,Q354,126-10 BEDELL STREET,Queens,NY,11434,04/03/2019,04/03/2019,"(40.679843, -73.774668)","126-10 BEDELL STREET
Queens, NY 11434
(40.68034967800003, -73.77456529999995)"
NYC DOE,Q180,Queens,Public School,86,No,0,0,0,86,Yes,01/25/2017,86,0,No,Yes,02/09/2017,http://schools.nyc.gov/schools/Q323,Q323,320 BEACH 104TH STREET,Queens,NY,11694,04/03/2019,04/03/2019,"(40.584543, -73.825162)","320 BEACH 104TH STREET
Queens, NY 11694
(40.584063667000066, -73.82565027299995)"
NYC DOE,Q099,Queens,Public School,77,No,0,0,0,77,Yes,01/25/2017,77,0,No,Yes,05/16/2018,http://schools.nyc.gov/schools/Q099,Q099,82-37 KEW GARDENS ROAD,Queens,NY,11415,04/03/2019,04/03/2019,"(40.711502, -73.827722)","82-37 KEW GARDENS ROAD
Queens, NY 11415
(40.71125189600008, -73.82844910999995)"
NYC DOE,M007,New York,Public School,224,No,0,0,0,224,Yes,01/21/2017,224,0,No,Yes,05/24/2018,http://schools.nyc.gov/schools/M007,M007,160 EAST 120 STREET,Manhattan,NY,10035,04/03/2019,04/03/2019,"(40.800616, -73.939374)","160 EAST 120 STREET
Manhattan, NY 10035
(40.80093378600003, -73.93921149099998)"
OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CSD,D H ROBBINS SCHOOL (LEAD ONLY),Montgomery,Public School,23,No,0,0,0,22,Yes,09/29/2016,23,0,Yes,Yes,12/15/2016,https://www.oesj.org/departments/building-and-grounds/,271201040003,61 MONROE STREET,ST. JOHNSVILLE,NY,13452,10/12/2018,10/09/2018,"(42.933637, -74.341972)","61 MONROE STREET
ST. JOHNSVILLE, NY 13452
(42.99913976800008, -74.67375266899995)"
NYC DOE,Q465,Queens,Public School,132,No,0,0,0,132,Yes,02/04/2017,132,0,No,Yes,03/01/2017,http://schools.nyc.gov/schools/Q260,"Q260,Q282,Q302,Q309",8-21 BAY 25 STREET,Queens,NY,11691,04/03/2019,04/03/2019,"(40.601537, -73.763995)","8-21 BAY 25 STREET
Queens, NY 11691
(40.601793187000055, -73.76276378999995)"
NYC DOE,Q068,Queens,Public School,113,No,0,0,0,113,Yes,02/01/2017,113,0,No,Yes,12/19/2017,http://schools.nyc.gov/schools/Q068,Q068,59-09 SAINT FELIX AVENUE,Queens,NY,11385,04/03/2019,04/03/2019,"(40.696961, -73.897372)","59-09 SAINT FELIX AVENUE
Queens, NY 11385
(40.696662298000035, -73.89718271099997)"
NYC DOE,R462,Richmond,Public School,19,No,0,0,0,19,Yes,01/18/2017,19,0,No,Yes,02/10/2017,http://schools.nyc.gov/schools/R460,R460,1220 MANOR ROAD,Staten Island,NY,10314,04/03/2019,04/03/2019,"(40.588983, -74.130823)","1220 MANOR ROAD
Staten Island, NY 10314
(40.59862484300004, -74.12315732899998)"
NYC DOE,Q426,Queens,Public School,5,No,0,0,0,5,Yes,02/11/2017,5,0,No,Yes,02/24/2017,http://schools.nyc.gov/schools/Q425,Q425,63-25 MAIN STREET,Queens,NY,11367,04/03/2019,04/03/2019,"(40.737448, -73.823841)","63-25 MAIN STREET
Queens, NY 11367
(40.73828306400003, -73.82482445499994)"
NYC DOE,Q931,Queens,Public School,2,No,0,0,0,2,Yes,02/04/2017,2,0,No,Yes,02/17/2017,http://schools.nyc.gov/schools/Q033,Q033,91-37 222 STREET,Queens,NY,11422,04/03/2019,04/03/2019,"(40.727142, -73.735079)","91-37 222 STREET
Queens, NY 11422
(40.678801727000064, -73.74717599299998)"
PLAINEDGE UFSD,PLAINEDGE MIDDLE SCHOOL,Nassau,Public School,39,No,39,0,0,0,Yes,06/03/2016,39,0,Yes,Yes,08/30/2016,WWW.Plainedgeschools.org,280518030001,200 STEWART AVE,BETHPAGE,NY,11714,10/12/2018,10/12/2018,"(40.715749, -73.601185)","200 STEWART AVE
BETHPAGE, NY 11714
(40.72567590600005, -73.48257449099998)"
RIVERHEAD CENTRAL SCHOOL,AQUEBOGUE ELEM SCHOOL,Suffolk,Public School,22,No,22,0,0,0,Yes,10/18/2016,22,0,Yes,Yes,05/11/2017,http://www.riverhead.net,580602040003,MAIN RD,AQUEBOGUE,NY,11931,10/11/2018,10/11/2018,"(40.820237, -73.119032)","MAIN RD
AQUEBOGUE, NY 11931
(40.955727737000075, -72.57413477099993)"
NYC DOE,Q012,Queens,Public School,141,No,0,0,0,141,Yes,01/31/2017,141,0,No,Yes,04/28/2018,http://schools.nyc.gov/schools/Q012,Q012,42-00 72 STREET,Queens,NY,11377,04/03/2019,04/03/2019,"(40.742284, -73.893466)","42-00 72 STREET
Queens, NY 11377
(40.74266967500006, -73.89286509599998)"
NYC DOE,R446,Richmond,Public School,3,No,0,0,0,3,Yes,01/24/2017,3,0,No,Yes,02/03/2017,http://schools.nyc.gov/schools/R445,R445,39 INNIS STREET,Staten Island,NY,10302,04/03/2019,04/03/2019,"(40.635562, -74.141924)","39 INNIS STREET
Staten Island, NY 10302
(40.63377385300004, -74.14234855699993)"
